#{"t_start": 1674161698.5917628, "env_id": null}
r,l,t,is_success
-10.0,1,3.576259,
-10.0,1,3.851612,
-10.0,1,4.083677,
-10.0,1,4.382079,
-10.0,1,4.620996,
-10.0,1,4.94129,
-10.0,1,5.232635,
-10.0,1,5.526166,
-10.0,1,5.765295,
-10.0,1,6.016007,
-10.0,1,6.263515,
-10.0,1,6.507962,
-10.0,1,6.758056,
-10.0,1,7.009511,
-10.0,1,7.356431,
-10.0,1,7.575809,
-10.0,1,7.809134,
-10.0,1,8.07387,
-10.0,1,8.321872,
-10.0,1,8.58794,
-10.0,1,8.829586,
-10.0,1,9.083067,
-10.0,1,9.331519,
-10.0,1,9.624301,
-10.0,1,9.848317,
-10.0,1,10.09229,
-10.0,1,10.341475,
-10.0,1,10.589213,
-10.0,1,10.814264,
-10.0,1,11.071086,
-10.0,1,11.327158,
-10.0,1,11.559779,
-10.0,1,11.813383,
-10.0,1,12.041903,
-10.0,1,12.264205,
-10.0,1,12.537681,
